REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.1.7.1.20.1,2110,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.1.7.1.21.1,87000,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.1.8.1.1.1,2810,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.1.8.1.2.1,5,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.1.8.1.3.1,10,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.1.8.1.4.1,25,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.1.8.1.5.1,30,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.1.8.1.6.1,30,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.1.8.1.7.1,50,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.1.8.1.8.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.1.8.1.9.1,70,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.1.8.1.10.1,85,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.1.8.1.11.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.1.8.1.12.1,185,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.1.8.1.13.1,160,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.1.8.1.14.1,130,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.1.8.1.15.1,150,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.1.8.1.16.1,140,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.1.8.1.17.1,1585,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.1.8.1.18.1,340,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.1.8.1.19.1,295,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.1.8.1.20.1,950,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.1.8.1.21.1,113000,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.1.9.1.1.1,6265,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.1.9.1.2.1,210,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.1.9.1.3.1,110,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.1.9.1.4.1,130,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.1.9.1.5.1,180,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.1.9.1.6.1,195,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.1.9.1.7.1,235,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.1.9.1.8.1,240,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.1.9.1.9.1,175,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.1.9.1.10.1,230,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.1.9.1.11.1,215,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.1.9.1.12.1,430,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.1.9.1.13.1,460,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.1.9.1.14.1,360,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.1.9.1.15.1,405,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.1.9.1.16.1,325,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.1.9.1.17.1,2355,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.1.9.1.18.1,700,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.1.9.1.19.1,485,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.1.9.1.20.1,1165,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.1.9.1.21.1,78500,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.2.7.1.1.1,3075,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.2.7.1.2.1,150,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.2.7.1.3.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.2.7.1.4.1,95,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.2.7.1.5.1,130,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.2.7.1.6.1,120,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.2.7.1.7.1,145,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.2.7.1.8.1,160,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.2.7.1.9.1,110,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.2.7.1.10.1,125,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.2.7.1.11.1,100,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.2.7.1.12.1,185,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.2.7.1.13.1,165,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.2.7.1.14.1,125,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.2.7.1.15.1,155,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.2.7.1.16.1,120,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.2.7.1.17.1,1110,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.2.7.1.18.1,305,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.2.7.1.19.1,195,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.2.7.1.20.1,615,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.2.7.1.21.1,68500,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.2.8.1.1.1,1980,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.2.8.1.2.1,5,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.2.8.1.3.1,10,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.2.8.1.4.1,25,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.2.8.1.5.1,30,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.2.8.1.6.1,30,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.2.8.1.7.1,50,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.2.8.1.8.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.2.8.1.9.1,60,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.2.8.1.10.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.2.8.1.11.1,60,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.2.8.1.12.1,140,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.2.8.1.13.1,125,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.2.8.1.14.1,90,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.2.8.1.15.1,115,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.2.8.1.16.1,85,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.2.8.1.17.1,1005,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.2.8.1.18.1,230,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.2.8.1.19.1,180,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.2.8.1.20.1,600,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.2.8.1.21.1,102000,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.2.9.1.1.1,1100,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.2.9.1.2.1,145,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.2.9.1.3.1,65,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.2.9.1.4.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.2.9.1.5.1,100,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.2.9.1.6.1,90,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.2.9.1.7.1,95,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.2.9.1.8.1,90,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.2.9.1.9.1,50,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.2.9.1.10.1,50,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.2.9.1.11.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.2.9.1.12.1,40,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.2.9.1.13.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.2.9.1.14.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.2.9.1.15.1,45,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.2.9.1.16.1,40,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.2.9.1.17.1,105,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.2.9.1.18.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.2.9.1.19.1,15,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.2.9.1.20.1,10,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.2.9.1.21.1,28600,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.3.7.1.1.1,2075,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.3.7.1.2.1,40,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.3.7.1.3.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.3.7.1.4.1,40,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.3.7.1.5.1,45,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.3.7.1.6.1,60,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.3.7.1.7.1,85,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.3.7.1.8.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.3.7.1.9.1,55,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.3.7.1.10.1,85,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.3.7.1.11.1,90,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.3.7.1.12.1,150,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.3.7.1.13.1,115,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.3.7.1.14.1,110,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.3.7.1.15.1,105,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.3.7.1.16.1,115,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.3.7.1.17.1,870,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.3.7.1.18.1,240,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.3.7.1.19.1,170,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.3.7.1.20.1,465,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.3.7.1.21.1,85000,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.3.8.1.1.1,545,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.3.8.1.9.1,10,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.3.8.1.10.1,15,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.3.8.1.11.1,15,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.3.8.1.12.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.3.8.1.13.1,25,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.3.8.1.14.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.3.8.1.15.1,25,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.3.8.1.16.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.3.8.1.17.1,360,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.3.8.1.18.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.3.8.1.19.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.3.8.1.20.1,200,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.3.8.1.21.1,126000,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.3.9.1.1.1,1525,,,,0
